Motivo,Fuente,Validación,Páginas
"Excluida por una etiqueta ""noindex""",Sitio web,No iniciada,52
Página alternativa con etiqueta canónica adecuada,Sitio web,No iniciada,8
Página con redirección,Sitio web,No iniciada,4
Error de redirección,Sitio web,No iniciada,3
Descubierta: actualmente sin indexar,Sistemas de Google,No iniciada,15
Rastreada: actualmente sin indexar,Sistemas de Google,No iniciada,8
